Pedido;Item;Tax_Antes;Tax_Novo;Tax_Depois;Material_Antes;Material_Novo;Material_Depois;CC_Antes;CC_Novo;CC_Depois;Status;Mensagens
4500033126;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033126 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033123;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033123 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033120;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033120 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033117;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033117 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033113;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033113 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033110;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033110 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033107;10;F4;;F4;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033107 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033104;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033104 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
4500033101;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033101 changed | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer | I - KI 339: Profit center was set to L2002005
4500033097;10;F5;;F5;1000784;;1000784;;20022PD002;;OK;S - 06 023: Standard PO 4500033097 changed | I - KI 339: Profit center was set to L2002005 | W - 06 081: Conversion between PC and KG effected using factor 1 | W - ME 083: Enter Requester, customer
